state,district,opportunity_index,job_opportunity_index,college_infra_index,rural_infra_index
MAHARASHTRA,Mumbai,9.507,9.64,9.196,6.691
MAHARASHTRA,Mumbai Suburban,9.627,9.771,9.29,7.656
MAHARASHTRA,Nagpur,6.908,6.283,8.365,7.412
MAHARASHTRA,Nanded,3.562,2.56,5.9,5.969
MAHARASHTRA,Nandurbar,2.401,1.608,4.25,4.564
MAHARASHTRA,Nashik,5.082,4.264,6.991,5.613
MAHARASHTRA,Osmanabad,3.053,1.597,6.451,5.384
MAHARASHTRA,Parbhani,3.668,2.854,5.567,6.408
MAHARASHTRA,Pune,6.743,6.163,8.097,6.644
MAHARASHTRA,Raigarh,4.878,3.761,7.484,6.038
MAHARASHTRA,Ratnagiri,3.247,1.471,7.389,5.792
MAHARASHTRA,Sangli,3.869,2.464,7.148,5.763
MAHARASHTRA,Satara,3.558,1.92,7.379,5.839
MAHARASHTRA,Sindhudurg,3.273,1.229,8.041,5.726
MAHARASHTRA,Solapur,3.979,2.988,6.294,5.196
MAHARASHTRA,Thane,7.685,7.63,7.814,6.821
MAHARASHTRA,Wardha,4.394,2.83,8.043,6.904
MAHARASHTRA,Washim,3.201,1.535,7.088,5.909
MAHARASHTRA,Yavatmal,3.495,1.93,7.148,5.593
MANIPUR,Bishnupur,4.223,3.446,6.035,6.173
MANIPUR,Chandel,2.347,1.008,5.471,5.466
MANIPUR,Churachandpur,2.662,0.821,6.956,5.23
MANIPUR,Imphal East,4.826,3.902,6.98,7.291
MANIPUR,Imphal West,6.426,5.837,7.8,6.666
MANIPUR,Senapati,1.586,0.43,4.282,5.712
MANIPUR,Tamenglong,2.461,1.325,5.112,4.045
MANIPUR,Thoubal,4.04,3.337,5.679,4.739
MANIPUR,Ukhrul,2.913,1.266,6.755,3.294
MEGHALAYA,East Garo Hills,2.512,1.399,5.108,3.225
MEGHALAYA,East Khasi Hills,5.306,4.675,6.779,6.493
MEGHALAYA,Jaintia Hills,1.461,0.787,3.035,4.949
MEGHALAYA,Ribhoi,2.095,0.817,5.077,4.766
MEGHALAYA,South Garo Hills,1.994,0.849,4.664,2.673
MEGHALAYA,West Garo Hills,2.09,1.101,4.4,3.23
MEGHALAYA,West Khasi Hills,2.396,1.26,5.048,3.676
MIZORAM,Aizawl,7.966,7.386,9.321,8.278
MIZORAM,Champhai,5.075,3.695,8.296,7.718
MIZORAM,Kolasib,6.039,5.156,8.1,6.808
MIZORAM,Lawngtlai,2.422,1.756,3.977,3.344
MIZORAM,Lunglei,5.105,4.072,7.515,6.873
MIZORAM,Mamit,3.231,1.787,6.6,5.799
MIZORAM,Saiha,5.12,4.117,7.458,5.826
MIZORAM,Serchhip,5.957,4.69,8.913,8.001
NAGALAND,Dimapur,5.858,5.21,7.37,6.614
NAGALAND,Kiphire,2.627,1.893,4.337,6.931
NAGALAND,Kohima,5.973,5.367,7.389,6.864
NAGALAND,Longleng,2.483,1.451,4.89,4.158
NAGALAND,Mokokchung,4.632,2.927,8.609,7.315
NAGALAND,Mon,1.837,1.308,3.072,2.726
NAGALAND,Peren,2.834,1.519,5.902,5.682
NAGALAND,Phek,2.738,1.423,5.808,7.832
NAGALAND,Tuensang,2.685,1.694,4.995,4.926
NAGALAND,Wokha,3.443,1.581,7.787,5.375
NAGALAND,Zunheboto,3.185,1.479,7.165,7.763
NCT OF DELHI,Central,9.196,9.589,8.277,6.774
NCT OF DELHI,East,9.786,10.0,9.286,9.355
NCT OF DELHI,New Delhi,9.652,9.821,9.258,7.048
NCT OF DELHI,North,8.951,9.274,8.196,6.439
NCT OF DELHI,North East,8.687,9.258,7.354,8.64
NCT OF DELHI,North West,8.75,9.056,8.038,8.099
NCT OF DELHI,South,9.497,9.861,8.649,9.025
NCT OF DELHI,South West,9.175,9.288,8.911,8.508
NCT OF DELHI,West,9.58,9.897,8.842,8.964
ORISSA,Anugul,3.099,1.67,6.432,3.194
ORISSA,Balangir,2.072,1.054,4.446,2.211
ORISSA,Baleshwar,2.792,1.129,6.672,4.349
ORISSA,Bargarh,2.482,0.94,6.079,3.574
ORISSA,Baudh,1.876,0.419,5.275,1.251
ORISSA,Bhadrak,2.936,1.157,7.086,3.796
ORISSA,Cuttack,4.092,2.494,7.82,4.516
ORISSA,Debagarh,2.169,0.699,5.599,2.217
ORISSA,Dhenkanal,2.644,0.955,6.587,3.255
ORISSA,Gajapati,1.638,1.186,2.692,3.523
ORISSA,Ganjam,3.036,1.982,5.494,3.973
ORISSA,Jagatsinghapur,3.193,1.132,8.0,3.941
ORISSA,Jajapur,2.576,0.779,6.769,3.507
ORISSA,Jharsuguda,4.692,3.822,6.723,4.641
ORISSA,Kalahandi,1.561,0.702,3.568,1.733
ORISSA,Kandhamal,1.88,0.906,4.153,1.053
ORISSA,Kendrapara,2.604,0.484,7.55,3.877
ORISSA,Kendujhar,2.359,1.318,4.787,2.023
ORISSA,Khordha,5.934,4.955,8.219,5.519
ORISSA,Koraput,1.707,1.564,2.042,1.803
ORISSA,Malkangiri,1.077,0.77,1.795,1.205
ORISSA,Mayurbhanj,1.779,0.773,4.128,1.75
ORISSA,Nabarangapur,0.972,0.712,1.58,0.798
ORISSA,Nayagarh,2.652,0.837,6.888,4.273
ORISSA,Nuapada,1.34,0.512,3.274,1.995
ORISSA,Puri,3.268,1.393,7.643,4.22
ORISSA,Rayagada,1.742,1.557,2.172,2.059
ORISSA,Sambalpur,3.852,2.784,6.346,4.069
ORISSA,Subarnapur,2.307,0.772,5.888,2.487
ORISSA,Sundargarh,4.164,3.456,5.816,3.711
PONDICHERRY,Karaikal,5.56,4.519,7.992,7.125
